"image.src","image.text","name.href","name.text","index","url"
"http://static.rada.gov.ua/dep_img7/kpu18.jpg","","http://itd.rada.gov.ua/mps/info/expage/10624/8","Бідьовка Володимир Анатолійович","29","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=8"
"http://static.rada.gov.ua/dep_img7/d58_1.jpg","","http://itd.rada.gov.ua/mps/info/expage/8723/8","Білий Олексій Петрович","30","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=8"
"http://static.rada.gov.ua/dep_img7/d180_1.jpg","","http://itd.rada.gov.ua/mps/info/expage/3471/8","Біловол Олександр Миколайович","31","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=8"
"http://static.rada.gov.ua/dep_img7/sv17.jpg","","http://itd.rada.gov.ua/mps/info/expage/11513/8","Блавацький Михайло Васильович","32","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=8"
"http://static.rada.gov.ua/dep_img7/reg78.jpg","","http://itd.rada.gov.ua/mps/info/expage/15028/8","Благодир Юрій Анатолійович","33","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=8"
"http://static.rada.gov.ua/dep_img7/reg15.jpg","","http://itd.rada.gov.ua/mps/info/expage/8724/8","Близнюк Анатолій Михайлович","34","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=8"
"http://static.rada.gov.ua/dep_img7/d41_1.jpg","","http://itd.rada.gov.ua/mps/info/expage/15745/8","Бобков Олександр Михайлович","35","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=8"
"http://static.rada.gov.ua/dep_img7/d196_1.jpg","","http://itd.rada.gov.ua/mps/info/expage/15829/8","Бобов Геннадій Борисович","36","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=8"
"http://static.rada.gov.ua/dep_img7/but73.jpg","","http://itd.rada.gov.ua/mps/info/expage/11173/8","Богдан Руслан Дмитрович","37","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=8"
"http://static.rada.gov.ua/dep_img7/reg60.jpg","","http://itd.rada.gov.ua/mps/info/expage/2353/8","Богословська Інна Германівна","38","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=8"
"http://static.rada.gov.ua/dep_img7/d77_1.jpg","","http://itd.rada.gov.ua/mps/info/expage/8725/8","Богуслаєв Вячеслав Олександрович","39","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=8"
"http://static.rada.gov.ua/dep_img7/d165_1.jpg","","http://itd.rada.gov.ua/mps/info/expage/9615/8","Бойко Володимир Богданович","40","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=8"
"http://static.rada.gov.ua/dep_img7/reg7.jpg","","http://itd.rada.gov.ua/mps/info/expage/5471/8","Бойко Володимир Семенович","41","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=8"
"http://static.rada.gov.ua/dep_img7/d191_1.jpg","","http://itd.rada.gov.ua/mps/info/expage/15826/8","Бондар Віктор Васильович","42","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=8"
