Янковський Микола Андрійович	Партія регіонів		23.11.2007	12.12.2012	https://uk.wikipedia.org/wiki/%D0%9C%D1%96%D1%89%D0%B5%D0%BD%D0%BA%D0%BE_%D0%A1%D0%B5%D1%80%D0%B3%D1%96%D0%B9_%D0%93%D1%80%D0%B8%D0%B3%D0%BE%D1%80%D0%BE%D0%B2%D0%B8%D1%87
Литвинов Леонід Федорович	Партія регіонів		23.11.2007	12.12.2012	https://uk.wikipedia.org/wiki/%D0%9F%D0%BE%D1%80%D1%82%D0%BD%D0%BE%D0%B2_%D0%90%D0%BD%D0%B4%D1%80%D1%96%D0%B9_%D0%92%D0%BE%D0%BB%D0%BE%D0%B4%D0%B8%D0%BC%D0%B8%D1%80%D0%BE%D0%B2%D0%B8%D1%87_%28%D0%BF%D0%BE%D0%BB%D1%96%D1%82%D0%B8%D0%BA%29
Васильєв Геннадій Андрійович	Партія регіонів		23.11.2007	12.12.2012	https://uk.wikipedia.org/wiki/%D0%9B%D0%BE%D0%B3%D0%B2%D0%B8%D0%BD%D0%B5%D0%BD%D0%BA%D0%BE_%D0%9E%D0%BB%D0%B5%D0%BA%D1%81%D1%96%D0%B9_%D0%A1%D1%82%D0%B5%D0%BF%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87
Ландик Валентин Іванович	Партія регіонів		23.11.2007	12.12.2012	https://uk.wikipedia.org/wiki/%D0%A4%D1%96%D0%BB%D0%B5%D0%BD%D0%BA%D0%BE_%D0%92%D0%BE%D0%BB%D0%BE%D0%B4%D0%B8%D0%BC%D0%B8%D1%80_%D0%9F%D0%B8%D0%BB%D0%B8%D0%BF%D0%BE%D0%B2%D0%B8%D1%87
Тихонов Віктор Миколайович	Партія регіонів		23.11.2007	11.03.2010	https://uk.wikipedia.org/wiki/%D0%A1%D0%BA%D0%B8%D0%B1%D1%96%D0%BD%D0%B5%D1%86%D1%8C%D0%BA%D0%B8%D0%B9_%D0%9E%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80_%D0%9C%D0%B0%D1%82%D0%B2%D1%96%D0%B9%D0%BE%D0%B2%D0%B8%D1%87
Табачник Яків Піневич	Партія регіонів		23.11.2007	12.12.2012	https://uk.wikipedia.org/wiki/%D0%96%D0%B5%D0%B2%D0%B0%D0%B3%D0%BE_%D0%9A%D0%BE%D1%81%D1%82%D1%8F%D0%BD%D1%82%D0%B8%D0%BD_%D0%92%D0%B0%D0%BB%D0%B5%D0%BD%D1%82%D0%B8%D0%BD%D0%BE%D0%B2%D0%B8%D1%87
Пригодський Антон Вікентійович	Партія регіонів		23.11.2007	12.12.2012	https://uk.wikipedia.org/wiki/%D0%A1%D0%B8%D0%B2%D1%83%D0%BB%D1%8C%D1%81%D1%8C%D0%BA%D0%B8%D0%B9_%D0%9C%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0_%D0%86%D0%B2%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87
Джарти Василь Георгійович	Партія регіонів		23.11.2007	16.04.2010	https://uk.wikipedia.org/wiki/%D0%A1%D0%B5%D0%BD%D1%87%D0%B5%D0%BD%D0%BA%D0%BE_%D0%90%D0%BD%D0%B4%D1%80%D1%96%D0%B9_%D0%92%D1%96%D0%BB%D0%B5%D0%BD%D0%BE%D0%B2%D0%B8%D1%87
Бахтеєва Тетяна Дмитрівна	Партія регіонів		23.11.2007	12.12.2012	https://uk.wikipedia.org/wiki/%D0%9A%D1%83%D1%80%D0%BE%D0%B2%D1%81%D1%8C%D0%BA%D0%B8%D0%B9_%D0%86%D0%B2%D0%B0%D0%BD_%D0%86%D0%B2%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87
Стоян Олександр Миколайович	Партія регіонів		23.11.2007	12.12.2012	https://uk.wikipedia.org/wiki/%D0%9A%D0%BE%D1%80%D0%BE%D0%BB%D0%B5%D0%B2%D1%81%D1%8C%D0%BA%D0%B0_%D0%9D%D0%B0%D1%82%D0%B0%D0%BB%D1%96%D1%8F_%D0%AE%D1%80%D1%96%D1%97%D0%B2%D0%BD%D0%B0
Хара Василь Георгійович	Партія регіонів		23.11.2007	12.12.2012	https://uk.wikipedia.org/wiki/%D0%9A%D0%B5%D0%BC%D0%B5%D0%BD%D1%8F%D1%88_%D0%9E%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80_%D0%9C%D0%B8%D1%85%D0%B0%D0%B9%D0%BB%D0%BE%D0%B2%D0%B8%D1%87
Турманов Віктор Іванович	Партія регіонів		23.11.2007	12.12.2012	https://uk.wikipedia.org/wiki/%D0%9A%D1%80%D0%B0%D0%B2%D1%87%D1%83%D0%BA_%D0%9F%D0%B5%D1%82%D1%80%D0%BE_%D0%9A%D0%BE%D1%81%D1%82%D1%8F%D0%BD%D1%82%D0%B8%D0%BD%D0%BE%D0%B2%D0%B8%D1%87
Лукаш Олена Леонідівна	Партія регіонів		23.11.2007	12.03.2010	https://uk.wikipedia.org/wiki/%D0%91%D1%83%D1%80%D1%8F%D0%BA_%D0%9E%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80_%D0%92%D0%B0%D1%81%D0%B8%D0%BB%D1%8C%D0%BE%D0%B2%D0%B8%D1%87
