Констанкевич Ірина Мирославівна	Українське об'єднання патріотів — УКРОП	23	6.09.2016		https://uk.wikipedia.org/wiki/%D0%9A%D0%BE%D0%BD%D1%81%D1%82%D0%B0%D0%BD%D0%BA%D0%B5%D0%B2%D0%B8%D1%87_%D0%86%D1%80%D0%B8%D0%BD%D0%B0_%D0%9C%D0%B8%D1%80%D0%BE%D1%81%D0%BB%D0%B0%D0%B2%D1%96%D0%B2%D0%BD%D0%B0
Домбровський Олександр Георгійович	Блок Петра Порошенка	11	27.11.2014		https://uk.wikipedia.org/wiki/%D0%94%D0%BE%D0%BC%D0%B1%D1%80%D0%BE%D0%B2%D1%81%D1%8C%D0%BA%D0%B8%D0%B9_%D0%9E%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80_%D0%93%D0%B5%D0%BE%D1%80%D0%B3%D1%96%D0%B9%D0%BE%D0%B2%D0%B8%D1%87
Богдан Руслан Дмитрович	ВО «Батьківщина»	151	6.09.2016		https://uk.wikipedia.org/wiki/%D0%91%D0%BE%D0%B3%D0%B4%D0%B0%D0%BD_%D0%A0%D1%83%D1%81%D0%BB%D0%B0%D0%BD_%D0%94%D0%BC%D0%B8%D1%82%D1%80%D0%BE%D0%B2%D0%B8%D1%87
Одарченко Юрій Віталійович	ВО «Батьківщина»	183	6.09.2016		https://uk.wikipedia.org/wiki/%D0%9E%D0%B4%D0%B0%D1%80%D1%87%D0%B5%D0%BD%D0%BA%D0%BE_%D0%AE%D1%80%D1%96%D0%B9_%D0%92%D1%96%D1%82%D0%B0%D0%BB%D1%96%D0%B9%D0%BE%D0%B2%D0%B8%D1%87
Микитась Максим Вікторович	Самовисування	206	6.09.2016		https://uk.wikipedia.org/wiki/%D0%9C%D0%B8%D0%BA%D0%B8%D1%82%D0%B0%D1%81%D1%8C_%D0%9C%D0%B0%D0%BA%D1%81%D0%B8%D0%BC_%D0%92%D1%96%D0%BA%D1%82%D0%BE%D1%80%D0%BE%D0%B2%D0%B8%D1%87
Ричкова Тетяна Борисівна	Самовисування	27	6.09.2016		https://uk.wikipedia.org/wiki/%D0%A0%D0%B8%D1%87%D0%BA%D0%BE%D0%B2%D0%B0_%D0%A2%D0%B5%D1%82%D1%8F%D0%BD%D0%B0_%D0%91%D0%BE%D1%80%D0%B8%D1%81%D1%96%D0%B2%D0%BD%D0%B0
Шевченко Віктор Леонідович	Українське об'єднання патріотів — УКРОП	85	6.09.2016		https://uk.wikipedia.org/wiki/%D0%A8%D0%B5%D0%B2%D1%87%D0%B5%D0%BD%D0%BA%D0%BE_%D0%92%D1%96%D0%BA%D1%82%D0%BE%D1%80_%D0%9B%D0%B5%D0%BE%D0%BD%D1%96%D0%B4%D0%BE%D0%B2%D0%B8%D1%87
Шахов Сергій Володимирович	Наш край	114	6.09.2016		https://uk.wikipedia.org/wiki/%D0%A8%D0%B0%D1%85%D0%BE%D0%B2_%D0%A1%D0%B5%D1%80%D0%B3%D1%96%D0%B9_%D0%92%D0%BE%D0%BB%D0%BE%D0%B4%D0%B8%D0%BC%D0%B8%D1%80%D0%BE%D0%B2%D0%B8%D1%87
Порошенко Олексій Петрович	Блок Петра Порошенка	12	27.11.2014		https://uk.wikipedia.org/wiki/%D0%9F%D0%BE%D1%80%D0%BE%D1%88%D0%B5%D0%BD%D0%BA%D0%BE_%D0%9E%D0%BB%D0%B5%D0%BA%D1%81%D1%96%D0%B9_%D0%9F%D0%B5%D1%82%D1%80%D0%BE%D0%B2%D0%B8%D1%87
Юрчишин Петро Васильович	Самовисування	13	27.11.2014		https://uk.wikipedia.org/wiki/%D0%AE%D1%80%D1%87%D0%B8%D1%88%D0%B8%D0%BD_%D0%9F%D0%B5%D1%82%D1%80%D0%BE_%D0%92%D0%B0%D1%81%D0%B8%D0%BB%D1%8C%D0%BE%D0%B2%D0%B8%D1%87
