"name.href","name.text","image.src","image.text","index","url"
"http://itd.rada.gov.ua/mps/info/page/17568","Березенко Сергій Іванович","http://static.rada.gov.ua/dep_img8/d205_2.jpg","","30","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=9"
"http://itd.rada.gov.ua/mps/info/page/14393","Березкін Станіслав Семенович","http://static.rada.gov.ua/dep_img8/d100_1.jpg","","31","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=9"
"http://itd.rada.gov.ua/mps/info/page/18027","Березюк Олег Романович","http://static.rada.gov.ua/dep_img8/sp28.jpg","","32","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=9"
"http://itd.rada.gov.ua/mps/info/page/15684","Бєлькова Ольга Валентинівна","http://static.rada.gov.ua/dep_img8/bp47.jpg","","33","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=9"
"http://itd.rada.gov.ua/mps/info/page/18065","Білецький Андрій Євгенійович","http://static.rada.gov.ua/dep_img8/d217_1.jpg","","34","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=9"
"http://itd.rada.gov.ua/mps/info/page/8723","Білий Олексій Петрович","http://static.rada.gov.ua/dep_img8/ob5.jpg","","35","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=9"
"http://itd.rada.gov.ua/mps/info/page/3471","Біловол Олександр Миколайович","http://static.rada.gov.ua/dep_img8/d180_1.jpg","","36","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=9"
"http://itd.rada.gov.ua/mps/info/page/15829","Бобов Геннадій Борисович","http://static.rada.gov.ua/dep_img8/d196_1.jpg","","37","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=9"
"http://itd.rada.gov.ua/mps/info/page/17972","Богомолець Ольга Вадимівна","http://static.rada.gov.ua/dep_img8/bp3.jpg","","38","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=9"
"http://itd.rada.gov.ua/mps/info/page/8725","Богуслаєв Вячеслав Олександрович","http://static.rada.gov.ua/dep_img8/d77_1.jpg","","39","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=9"
"http://itd.rada.gov.ua/mps/info/page/16698","Бойко Олена Петрівна","http://static.rada.gov.ua/dep_img8/nf66.jpg","","40","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=9"
"http://itd.rada.gov.ua/mps/info/page/11094","Бойко Юрій Анатолійович","http://static.rada.gov.ua/dep_img8/ob1.jpg","","41","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=9"
"http://itd.rada.gov.ua/mps/info/page/15826","Бондар Віктор Васильович","http://static.rada.gov.ua/dep_img8/d191_1.jpg","","42","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=9"
"http://itd.rada.gov.ua/mps/info/page/18066","Бондар Михайло Леонтійович","http://static.rada.gov.ua/dep_img8/d119_1.jpg","","43","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=9"
"http://itd.rada.gov.ua/mps/info/page/17998","Брензович Василь Іванович","http://static.rada.gov.ua/dep_img8/bp62.jpg","","44","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=9"
"http://itd.rada.gov.ua/mps/info/page/15796","Бриченко Ігор Віталійович","http://static.rada.gov.ua/dep_img8/nf47.jpg","","45","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=9"
"http://itd.rada.gov.ua/mps/info/page/15802","Бублик Юрій Васильович","http://static.rada.gov.ua/dep_img8/d145_1.jpg","","46","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=9"
"http://itd.rada.gov.ua/mps/info/page/15655","Бурбак Максим Юрійович","http://static.rada.gov.ua/dep_img8/d204_1.jpg","","47","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=9"
"http://itd.rada.gov.ua/mps/info/page/15257","Бухарєв Владислав Вікторович","http://static.rada.gov.ua/dep_img8/d162_1.jpg","","48","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=9"
"http://itd.rada.gov.ua/mps/info/page/18067","Вадатурський Андрій Олексійович","http://static.rada.gov.ua/dep_img8/d130_1.jpg","","49","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=9"
"http://itd.rada.gov.ua/mps/info/page/18068","Валентиров Сергій Васильович","http://static.rada.gov.ua/dep_img8/d81_1.jpg","","50","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=9"
"http://itd.rada.gov.ua/mps/info/page/17964","Ванат Петро Михайлович","http://static.rada.gov.ua/dep_img8/nf45.jpg","","51","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=9"
"http://itd.rada.gov.ua/mps/info/page/15787","Васюник Ігор Васильович","http://static.rada.gov.ua/dep_img8/nf17.jpg","","52","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=9"
"http://itd.rada.gov.ua/mps/info/page/17961","Величкович Микола Романович","http://static.rada.gov.ua/dep_img8/nf40.jpg","","53","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=9"
"http://itd.rada.gov.ua/mps/info/page/18008","Веселова Наталія Василівна","http://static.rada.gov.ua/dep_img8/sp9.jpg","","54","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=9"
"http://itd.rada.gov.ua/mps/info/page/17963","Висоцький Сергій Віталійович","http://static.rada.gov.ua/dep_img8/nf44.jpg","","55","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=9"
"http://itd.rada.gov.ua/mps/info/page/8737","Вілкул Олександр Юрійович","http://static.rada.gov.ua/dep_img8/ob2.jpg","","56","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=9"
"http://itd.rada.gov.ua/mps/info/page/18069","Вінник Іван Юлійович","http://static.rada.gov.ua/dep_img8/d184_1.jpg","","57","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=9"
"http://itd.rada.gov.ua/mps/info/page/18043","Вітко Артем Леонідович","http://static.rada.gov.ua/dep_img8/rp7.jpg","","58","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=9"
"http://itd.rada.gov.ua/mps/info/page/12265","Власенко Сергій Володимирович","http://static.rada.gov.ua/dep_img8/but15.jpg","","59","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=9"
"http://itd.rada.gov.ua/mps/info/page/8132","Вовк Віктор Іванович","http://static.rada.gov.ua/dep_img8/rp23.jpg","","60","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=9"
"http://itd.rada.gov.ua/mps/info/page/15807","Вознюк Юрій Володимирович","http://static.rada.gov.ua/dep_img8/d153_1.jpg","","61","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=9"
"http://itd.rada.gov.ua/mps/info/page/11596","Войцеховська Світлана Михайлівна","http://static.rada.gov.ua/dep_img8/nf46.jpg","","62","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=9"
"http://itd.rada.gov.ua/mps/info/page/18021","Войціцька Вікторія Михайлівна","http://static.rada.gov.ua/dep_img8/sp22.jpg","","63","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=9"
"http://itd.rada.gov.ua/mps/info/page/8741","Воропаєв Юрій Миколайович","http://static.rada.gov.ua/dep_img8/ob13.jpg","","64","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=9"
"http://itd.rada.gov.ua/mps/info/page/18070","Гаврилюк Михайло Віталійович","http://static.rada.gov.ua/dep_img8/d95_1.jpg","","65","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=9"
"http://itd.rada.gov.ua/mps/info/page/18046","Галасюк Віктор Валерійович","http://static.rada.gov.ua/dep_img8/rp10.jpg","","66","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=9"
"http://itd.rada.gov.ua/mps/info/page/18071","Гальченко Андрій Володимирович","http://static.rada.gov.ua/dep_img8/d32_1.jpg","","67","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=9"
"http://itd.rada.gov.ua/mps/info/page/18072","Гарбуз Юрій Григорійович","http://static.rada.gov.ua/dep_img8/d114_1.jpg","","68","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=9"
"http://itd.rada.gov.ua/mps/info/page/17985","Герасимов Артур Володимирович","http://static.rada.gov.ua/dep_img8/bp43.jpg","","69","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=9"
"http://itd.rada.gov.ua/mps/info/page/17952","Геращенко Антон Юрійович","http://static.rada.gov.ua/dep_img8/nf21.jpg","","70","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=9"
"http://itd.rada.gov.ua/mps/info/page/11121","Геращенко Ірина Володимирівна","http://static.rada.gov.ua/dep_img8/bp9.jpg","","71","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=9"
"http://itd.rada.gov.ua/mps/info/page/15827","Герега Олександр Володимирович","http://static.rada.gov.ua/dep_img8/d192_1.jpg","","72","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=9"
"http://itd.rada.gov.ua/mps/info/page/8746","Гєллєр Євгеній Борисович","http://static.rada.gov.ua/dep_img8/d50_1.jpg","","73","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=9"
"http://itd.rada.gov.ua/mps/info/page/5606","Гіршфельд Анатолій Мусійович","http://static.rada.gov.ua/dep_img8/d179_1.jpg","","74","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=9"
"http://itd.rada.gov.ua/mps/info/page/15813","Головко Михайло Йосифович","http://static.rada.gov.ua/dep_img8/d164_1.jpg","","75","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=9"
"http://itd.rada.gov.ua/mps/info/page/8238","Голуб Владислав Володимирович","http://static.rada.gov.ua/dep_img8/d197_1.jpg","","76","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=9"
"http://itd.rada.gov.ua/mps/info/page/18074","Голубов Дмитро Іванович","http://static.rada.gov.ua/dep_img8/d136_1.jpg","","77","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=9"
"http://itd.rada.gov.ua/mps/info/page/17984","Гончаренко Олексій Олексійович","http://static.rada.gov.ua/dep_img8/bp40.jpg","","78","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=9"
"http://itd.rada.gov.ua/mps/info/page/18002","Гопко Ганна Миколаївна","http://static.rada.gov.ua/dep_img8/sp1.jpg","","79","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=9"
"http://itd.rada.gov.ua/mps/info/page/17962","Горбунов Олександр Володимирович","http://static.rada.gov.ua/dep_img8/nf41.jpg","","80","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=9"
"http://itd.rada.gov.ua/mps/info/page/18075","Горват Роберт Іванович","http://static.rada.gov.ua/dep_img8/d68_1.jpg","","81","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=9"
"http://itd.rada.gov.ua/mps/info/page/15953","Гордєєв Андрій Анатолійович","http://static.rada.gov.ua/dep_img8/d183_1.jpg","","82","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=9"
