Азаров Микола Янович	Партія регіонів	Багатомандатний округ	12.12.2012	18.12.2012[4]	https://uk.wikipedia.org/wiki/%D0%90%D0%B7%D0%B0%D1%80%D0%BE%D0%B2_%D0%9C%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0_%D0%AF%D0%BD%D0%BE%D0%B2%D0%B8%D1%87
Повалій Таїсія Миколаївна	Партія регіонів	Багатомандатний округ	12.12.2012	27.11.2014	https://uk.wikipedia.org/wiki/%D0%9F%D0%BE%D0%B2%D0%B0%D0%BB%D1%96%D0%B9_%D0%A2%D0%B0%D1%97%D1%81%D1%96%D1%8F_%D0%9C%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D1%97%D0%B2%D0%BD%D0%B0
Тігіпко Сергій Леонідович	Партія регіонів	Багатомандатний округ	12.12.2012	27.11.2014	https://uk.wikipedia.org/wiki/%D0%A2%D1%96%D0%B3%D1%96%D0%BF%D0%BA%D0%BE_%D0%A1%D0%B5%D1%80%D0%B3%D1%96%D0%B9_%D0%9B%D0%B5%D0%BE%D0%BD%D1%96%D0%B4%D0%BE%D0%B2%D0%B8%D1%87
Єфремов Олександр Сергійович	Партія регіонів	Багатомандатний округ	12.12.2012	27.11.2014	https://uk.wikipedia.org/wiki/%D0%84%D1%84%D1%80%D0%B5%D0%BC%D0%BE%D0%B2_%D0%9E%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80_%D0%A1%D0%B5%D1%80%D0%B3%D1%96%D0%B9%D0%BE%D0%B2%D0%B8%D1%87
Бойко Володимир Семенович	Партія регіонів	Багатомандатний округ	12.12.2012	27.11.2014	https://uk.wikipedia.org/wiki/%D0%91%D0%BE%D0%B9%D0%BA%D0%BE_%D0%92%D0%BE%D0%BB%D0%BE%D0%B4%D0%B8%D0%BC%D0%B8%D1%80_%D0%A1%D0%B5%D0%BC%D0%B5%D0%BD%D0%BE%D0%B2%D0%B8%D1%87
Колесніков Борис Вікторович	Партія регіонів	Багатомандатний округ	12.12.2012	27.11.2014	https://uk.wikipedia.org/wiki/%D0%9A%D0%BE%D0%BB%D0%B5%D1%81%D0%BD%D1%96%D0%BA%D0%BE%D0%B2_%D0%91%D0%BE%D1%80%D0%B8%D1%81_%D0%92%D1%96%D0%BA%D1%82%D0%BE%D1%80%D0%BE%D0%B2%D0%B8%D1%87
Кожара Леонід Олександрович	Партія регіонів	Багатомандатний округ	12.12.2012	25.12.2012[5]	https://uk.wikipedia.org/wiki/%D0%9A%D0%BE%D0%B6%D0%B0%D1%80%D0%B0_%D0%9B%D0%B5%D0%BE%D0%BD%D1%96%D0%B4_%D0%9E%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80%D0%BE%D0%B2%D0%B8%D1%87
Рибак Володимир Васильович	Партія регіонів	Багатомандатний округ	12.12.2012	27.11.2014	https://uk.wikipedia.org/wiki/%D0%A0%D0%B8%D0%B1%D0%B0%D0%BA_%D0%92%D0%BE%D0%BB%D0%BE%D0%B4%D0%B8%D0%BC%D0%B8%D1%80_%D0%92%D0%B0%D1%81%D0%B8%D0%BB%D1%8C%D0%BE%D0%B2%D0%B8%D1%87
Табачник Дмитро Володимирович	Партія регіонів	Багатомандатний округ	12.12.2012	25.12.2012[6]	https://uk.wikipedia.org/wiki/%D0%A2%D0%B0%D0%B1%D0%B0%D1%87%D0%BD%D0%B8%D0%BA_%D0%94%D0%BC%D0%B8%D1%82%D1%80%D0%BE_%D0%92%D0%BE%D0%BB%D0%BE%D0%B4%D0%B8%D0%BC%D0%B8%D1%80%D0%BE%D0%B2%D0%B8%D1%87
Лавринович Олександр Володимирович	Партія регіонів	Багатомандатний округ	12.12.2012	25.12.2012[7]	https://uk.wikipedia.org/wiki/%D0%9B%D0%B0%D0%B2%D1%80%D0%B8%D0%BD%D0%BE%D0%B2%D0%B8%D1%87_%D0%9E%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80_%D0%92%D0%BE%D0%BB%D0%BE%D0%B4%D0%B8%D0%BC%D0%B8%D1%80%D0%BE%D0%B2%D0%B8%D1%87
